,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,labels
41,Bollywood_Rap/Emiway Bantai - Kadak Ban.opus,1.5802917,0.45204878,0.4670342,0.2463577890629371,4.890046,-2.6691983,4065.645759874312,3762.652196889932,20.46684348531659,8221.65432224026,-0.0103293407456424,0.0953670069989998,0
42,Bollywood_Rap/DIVINE - Mere Gully Mein (feat Naezy).opus,1.5819874,0.624348,0.33016792,0.2238252082027415,27.954947,3.464054,2999.2666048952583,3673.94198834761,19.0308273097942,6279.762964175874,0.0501649899707238,0.0420792594098843,0
43,Bollywood_Rap/DIVINE - Farak.opus,1.4725192,0.4486577,0.4238542,0.2308310295740862,3.4290547,-2.0525675,3262.4270757044583,3613.6320981131103,20.03675843710307,6960.640390116671,-0.0257023056091268,0.0632423638816047,0
44,Bollywood_Rap/DIVINE - Paintra.opus,1.4982879,0.4573735,0.48718357,0.2458867944268367,0.4425777,-7.7043886,4881.890108893475,4231.564390520167,18.581613671558863,9743.467276569132,-0.0036775559233867,0.119720033329859,0
45,Bollywood_Rap/DIVINE - One Side.opus,1.5287262,0.44427627,0.46451387,0.2448033825209648,5.500763,-1.4008188,3036.746807053031,3273.244621828884,20.35351101238708,6374.889549952874,-0.0152468342483674,0.0610319041097235,0
46,Bollywood_Rap/DIVINE - Teesri Manzil.opus,1.4777528,0.46047804,0.51466924,0.2578575891162836,16.578302,4.073993,2515.1606245963794,3105.8571024540024,18.79473361440101,5426.366998141764,0.0210641570236163,0.0469674699383281,0
47,Bollywood_Rap/Garry Sandhu - Banda Ban Ja.opus,1.2940899,0.45480147,0.41923803,0.2356679310565985,10.421852,1.0589823,3393.252771377673,3723.6069029351993,20.212400942437327,7302.7966997435005,-0.0246990622215605,0.0548977823259933,0
48,Bollywood_Rap/DIVINE - Kaam 25 - Sacred Games.opus,1.4808562,0.4735013,0.4498654,0.2302194516862012,16.330013,-0.41028556,2853.297584192344,2937.693307828693,19.3858924683458,5922.842829560378,0.0235038611598717,0.0701191539381527,0
49,Bollywood_Rap/Fateh - Fame.opus,1.4169983,0.44817263,0.2823918,0.1982498898457657,17.150154,4.782927,2108.960220163214,2481.146464604327,20.79552005736612,4267.159035600055,0.0410042375977034,0.0429462971654382,0
50,Bollywood_Rap/DIVINE - Roots (feat Raja Kumari).opus,1.6414535,0.63486904,0.3861292,0.2332144485572933,24.634636,6.334422,2584.858246569096,3364.52584331118,18.179810702207234,5589.958071832726,0.049975379599968,0.0349340845717351,0
51,Bollywood_Rap/Bohemia - Zamana Jali.opus,1.5080881,0.5491063,0.3502461,0.2194673037065737,12.808436,5.4399676,2491.342672376732,3064.141113639249,19.30395229269129,5463.656387665198,-0.008722883852574,0.0426077373577459,0
52,Bollywood_Rap/DIVINE - Junoon.opus,1.2123523,0.38801968,0.24031535,0.1589402337044329,5.156519,-6.1628575,2081.9414437429477,2802.6561188264354,19.73931206996857,4506.435375393967,0.097991435581356,0.034169427950998,0
53,Bollywood_Rap/Emiway Bantai - Emiway (Out of Sampark).opus,1.5220027,0.5237859,0.42248583,0.2315163528706622,5.5807714,0.6441939,4368.323346466737,4107.897865924168,21.706069711579055,9270.040811683455,0.0127808003235157,0.0866976059171487,0
54,Bollywood_Rap/Garry Sandhu - Illegal Daru.opus,1.5519956,0.48063126,0.54820156,0.2581371437721598,10.974266,1.913837,3698.467548906437,3683.357867191607,19.64688856740997,7628.469096260388,-0.0127161908228532,0.0756043325831025,0
55,Bollywood_Rap/Guru Randhawa - High Rated Gabru (From Nawabzaade).opus,1.509638,0.40109977,0.48086092,0.2499248124469339,22.227331,4.5819864,2855.940621623004,3183.541259564681,19.28101233028037,6194.96260931496,0.0120755016348538,0.0553808761966675,0
56,Bollywood_Rap/Garry Sandhu - Illegal Weapon.opus,1.6248083,0.38203996,0.42839384,0.2403129965178944,12.895598,-2.8824449,2977.67630285343,3218.735115244567,21.678804562692783,6327.674005847272,-0.0186903014451063,0.0523906921577249,0
57,Bollywood_Rap/Garry Sandhu - Do Botalaan.opus,1.6558596,0.44304737,0.55635685,0.2593682563197152,15.09182,3.4136117,2828.48634414735,3300.323340523189,19.123528140162712,5727.612999971058,-0.0227330997093742,0.0528065036032646,0
58,Bollywood_Rap/Garry Sandhu - Ego.opus,1.4528198,0.3715943,0.49860445,0.2510118703765118,13.351074,-0.831616,3014.1268353458854,3071.2217764422094,20.07113010137934,6128.744160362446,0.0073116917461974,0.0685257374086123,0
59,Bollywood_Rap/Garry Sandhu - Gidde Vich.opus,1.5637883,0.42762724,0.47586623,0.2521372285127424,6.0568004,0.07438902,3280.9594471890077,3573.8011027568814,20.72599416316568,7108.091852381217,-0.0135750424743378,0.0616405209258437,0
60,Bollywood_Rap/Guru Randhawa - Daaru Wargi (From Cheat India).opus,1.5627137,0.4828036,0.5546997,0.2577487254168003,16.052742,3.9863842,2665.04801042822,3226.6621180344814,19.337899423366476,5866.785478117987,-0.0119274860369445,0.0466309637420514,0
61,Bollywood_Rap/Gurinder Seagal - Mummy Kasam.opus,1.4271672,0.45541838,0.4998347,0.252633467015932,9.994441,4.1440854,3228.337748890957,3641.76408658516,19.342951968112924,7304.006594036698,0.0023361778100074,0.062482961352187,0
62,Bollywood_Rap/Garry Sandhu - Driver.opus,1.6983864,0.43306816,0.5775773,0.2680049253466254,15.402296,3.7709146,3543.8717725992124,3826.056843537602,19.614342972490338,7358.774234693878,0.0108623578427248,0.0687970078656462,0
63,Bollywood_Rap/Garry Sandhu - Din Gaye.opus,1.2687421,0.4109841,0.4330586,0.2385391111942703,14.3013525,4.4011493,2840.508169327148,3459.873941267039,20.61804730692154,6176.883788566532,-0.0260862766366284,0.0464343627495714,0
64,Bollywood_Rap/Guru Randhawa - High Rated Gabru.opus,1.517741,0.36400115,0.4752526,0.24332771754772,15.037247,0.542388,2836.710190714792,3167.6354004053665,20.504395890434765,6035.645081736189,0.0236267146361851,0.0548215553542105,0
65,Bollywood_Rap/Guru Randhawa - Patola (From Blackmail).opus,1.4778082,0.38863286,0.5052126,0.2607374567934535,19.686947,2.8196464,3178.3706199159114,3569.031307564885,19.02125231162221,6824.85212933754,-0.0173109523077536,0.0630878418948953,0
66,Bollywood_Rap/Harrdy Sandhu - Naah.opus,1.4142128,0.3854981,0.42738885,0.2382504045529506,12.157856,1.4221872,3087.8997938103967,3354.128371664891,20.01228914412547,6677.565232354414,0.0075989736076492,0.0666579814036514,0
67,Bollywood_Rap/Guru Randhawa - Made In India.opus,1.5809892,0.48024616,0.4149369,0.2437771378693727,6.389072,2.145805,2872.8319606531995,3046.801298380236,20.26554189356039,6213.862165347383,0.0083972592997139,0.0610494841559947,0
68,Bollywood_Rap/Guru Randhawa - Lahore - Remix(Remix By Dj Shadow Dubai).opus,1.5098413,0.49603805,0.48982245,0.2512520838221657,16.294353,2.0143878,3680.4581876776215,3826.039347199269,18.83193670262448,7720.167201962013,-0.0085665092666959,0.0786607111920916,0
69,Bollywood_Rap/Harrdy Sandhu - Kya Baat Ay.opus,1.5015748,0.42247382,0.41828138,0.2345259878234281,3.8242805,-1.7640405,2386.367739184548,2963.694016619294,21.42573109288629,5295.418141887888,-0.0115974862487287,0.0431888179774531,0
70,Bollywood_Rap/Sidhu Moose Wala - Death Route.opus,1.4847406,0.4610916,0.438302,0.2344747250750054,9.670541,-0.5411395,2929.3021059276784,3072.632449642788,20.878756817213283,6086.478103265355,0.0363461100045359,0.0632298316762201,0
71,Bollywood_Rap/Roach Killer - Desi Hip Hop - Spoken Word.opus,1.6862341,0.5051104,0.47443986,0.2525415798535386,2.334508,-1.7941539,3724.5341797460646,3801.514592619624,19.80815588188208,7557.802763295903,0.03234039231153,0.0716981727773321,0
72,Bollywood_Rap/Mamta Sharma - Rajj Rajj Ankhiyan Roiyan.opus,1.3862373,0.39363605,0.33339173,0.2057253754368059,16.410402,1.0446244,2810.818947222502,3650.669517025234,21.776814117791854,6010.753981619593,0.0186896687165889,0.041759688281889,0
73,Bollywood_Rap/Imran Khan - Knightridah.opus,1.5694565,0.39590028,0.33558735,0.2249896788299059,14.899868,-2.611901,3416.2024612171567,3501.555979804104,21.48178987602738,7088.784914621735,0.081098004833162,0.0648783763905773,0
74,Bollywood_Rap/Sidhu Moose Wala - Dawood.opus,1.496959,0.38758093,0.45949697,0.2449981815182233,16.354399,3.6883452,2825.1126313008167,2913.352480481969,19.51996250886095,5852.253203937593,-0.0065794565005533,0.0643490673487684,0
75,Bollywood_Rap/Sidhu Moose Wala - Intro.opus,1.5449007,0.42650294,0.4758083,0.2510543143099017,8.966983,1.2734075,2640.2035530324088,2945.4147645638195,20.19627747216327,5490.768087947485,0.0012317150181783,0.0558255222136712,0
76,Bollywood_Rap/Raftaar - All Black.opus,1.4790572,0.48362935,0.38224754,0.2246687534541572,14.960913,0.39169964,2661.86855259924,3312.435454410498,20.639409981028148,5868.003931017725,-0.0248290328688588,0.0417422052170592,0
77,Bollywood_Rap/RDB - We Doin It BIG.opus,1.2960951,0.40324414,0.41867915,0.2189885540467571,11.540164,-3.083625,3118.049843830347,3113.271055591554,17.993060047620887,6272.744324410744,-0.0191808940541592,0.0704174006200895,0
78,Bollywood_Rap/Sidhu Moose Wala - Devil - Skit.opus,1.4123371,0.42517242,0.49355692,0.2430051716682716,11.852506,0.8475666,2366.9897133643653,2674.177670071794,19.93208440051609,4831.7783653196375,-0.0152294054632009,0.0491751375115443,0
79,Bollywood_Rap/Raftaar - Swag Mera Desi.opus,1.615139,0.51883066,0.47493848,0.2342207777795864,8.639215,2.7251155,3585.3145409221183,3522.852897614878,20.21893825843741,7602.829599662017,-0.0068714099469506,0.0724186228555232,0
80,Bollywood_Rap/Mika Singh - Lagi Hawa Dil Ko.opus,1.3065932,0.36896992,0.4351634,0.2279276527893749,12.092958,-0.1654694,2871.657604004132,3425.3017861173303,20.80262950656064,6551.488474274071,-0.0277902400005127,0.053926099640219,0
81,Bollywood_Rap/Sidhu Moose Wala - Dollar - Remix.opus,1.4103129,0.35032326,0.42077273,0.2440764399317239,12.850065,-1.0183185,3204.941615184101,3299.1532770711024,20.330474123323626,6743.344593516687,0.0261493348583877,0.0661670168025333,0
82,Bollywood_Rap/Sidhu Moose Wala - Boss.opus,1.4978832,0.4540003,0.35876602,0.2178007218183742,12.778736,1.3160512,2926.8833663684327,3320.2351843107385,20.039667531171464,6125.369651845637,-0.0656118317162104,0.0540792785234899,0
83,Bollywood_Rap/Sidhu Moose Wala - Badfella.opus,1.4440997,0.41159105,0.5174551,0.254863979061354,14.937905,2.1557865,2699.5086923731947,2780.434506075696,19.151956778622583,5566.564293400287,-0.0022114043832345,0.0597214204851147,0
84,Bollywood_Rap/Sidhu Moose Wala - Im Better Now - Skit.opus,1.3263303,0.39743993,0.3757014,0.2187821195846735,18.590418,1.758704,2303.9293569824063,2943.672409185605,20.205525329504304,4930.952288293898,-0.0410747016859756,0.0422154446764574,0
85,Bollywood_Rap/Nindy Kaur - BBM.opus,1.4911587,0.5284964,0.565088,0.2612254687988457,10.591797,3.3742998,3896.209443589262,4010.8875172069775,19.01538939282712,8396.796296602326,-0.0122550519103276,0.0814920792225784,0
86,Bollywood_Rap/Sidhu Moose Wala - Devil.opus,1.4123371,0.42517242,0.49355692,0.2430051716682716,11.852506,0.8475666,2366.9897133643653,2674.177670071794,19.93208440051609,4831.7783653196375,-0.0152294054632009,0.0491751375115443,0
87,Bollywood_Rap/Raftaar - Toh Dishoom.opus,1.5022924,0.49090287,0.42034557,0.2342567353092766,14.451505,4.0518274,3120.10224680953,3882.3503949786377,19.583134318369478,6727.167904200731,-0.003453734129061,0.0502005189081796,0
88,Bollywood_Rap/Sidhu Moose Wala - Im Better Now.opus,1.4138234,0.40882653,0.3809465,0.2234567818967854,22.21358,2.6732063,2179.1825189566766,2740.417628481505,20.067995574164357,4605.908176133223,-0.0422150147624618,0.0425953637483876,0
89,Bollywood_Rap/Sidhu Moose Wala - Tochan.opus,1.5043372,0.40409905,0.48685646,0.2508774125163897,10.395772,0.15836677,3084.653798540959,3445.9202299588906,20.55857398485665,6347.623168487153,0.0414528640715547,0.0594687889083702,0
90,Bollywood_Rap/Sidhu Moose Wala - Jaat Da Muqabala.opus,1.5355066,0.449583,0.49978957,0.2560937725229773,7.554889,0.17316034,3059.1596745379675,3233.2698686376834,20.522796131541156,6539.46511651026,0.022656166084822,0.0708852292345978,0
91,Bollywood_Rap/Zack Knight - Bom Diggy.opus,1.5102158,0.45946983,0.5159236,0.2542573062739018,13.147795,3.6898882,3700.251898009923,3926.406173051585,20.37784782183152,8141.7379807692305,0.012302149544068,0.0758837139423077,0
92,Bollywood_Rap/Sidhu Moose Wala - Trend.opus,1.6725721,0.45293328,0.48155773,0.248976892666494,12.870766,1.1039762,3525.310966041992,3452.8452568654902,20.673848236105734,7506.741071428572,0.0311597429683278,0.0760078745039682,0
93,Bollywood_Rap/Sidhu Moose Wala - Selfmade.opus,1.4850115,0.4064607,0.42054364,0.2336025825345936,14.475923,1.6784258,2111.2057020572547,2666.868595466734,20.667314513228376,4267.262469604412,0.0561179740217042,0.0385203256590652,0
94,Bollywood_Rap/Wizard - Drop Low.opus,1.5106164,0.50859874,0.5453806,0.255227933762405,10.958576,4.349427,3024.887051332234,3763.0134200873695,18.611424667843,6648.188266871166,0.0108056010748661,0.0504105956032719,0
95,Bollywood_Rap/Sidhu Moose Wala - Issa Jatt.opus,1.5574857,0.48581216,0.44270882,0.2409206938552512,9.7598915,-1.2578589,3027.039927264153,3329.7215002438656,19.66262288696001,6222.9578276145285,-0.0119047804523112,0.0624641520108026,0
96,Bollywood_Rap/Sidhu Moose Wala - So High.opus,1.5354501,0.4285031,0.54752094,0.2636507458448371,11.220168,-0.73828614,2398.9981015805984,2763.250155223248,20.43074494482794,5043.102664133247,-0.0176993438509606,0.0468256169073992,0
97,Bollywood_Rap/Sidhu Moose Wala - Outro.opus,1.6214476,0.4216489,0.5477799,0.2717592876779386,4.0317736,-18.232496,2109.179651197058,2063.776431799382,18.74638313608252,3550.902626962913,0.0010639523001279,0.0568507507099899,0
98,Bollywood_Rap/Sidhu Moose Wala - Outlaw.opus,1.3664372,0.40116194,0.34055996,0.2102635538752899,19.178139,3.5116138,2197.009962672992,2805.7092884737403,20.871762841814785,4824.858026349046,-0.085639703019796,0.0396826474235435,0
99,Bollywood_Rap/Sidhu Moose Wala - Kala Chashma - Skit.opus,1.6021925,0.40947613,0.539565,0.2709756305153353,4.0851803,-18.370783,2310.324205441805,2125.4169105414103,18.806781107984285,3938.940015889831,0.0067725706150122,0.0638421527409957,0
100,Ghazal/Ghulam Ali - Hangama Hai Kiu Barbad.opus,1.35208,0.33489946,0.4044514,0.231364309316973,0.78329986,-6.283506,1527.330948999288,1645.669849949623,20.546428935359494,2938.793904417923,0.0351312774583104,0.0357342692875183,1
101,Ghazal/Ghulam Ali - Chupke Chupke Raat Din.opus,1.3391095,0.39080098,0.41980022,0.2381644725404242,4.587063,2.1061308,2522.5432995441383,3219.0211315537463,20.43873399512989,5311.769385750085,-0.0066698875331017,0.0484084593442685,1
102,Ghazal/Gulzar - Mujhko Bhi.opus,0.94926965,0.37115613,0.3978043,0.206961373828318,0.5130545,-11.652381,1500.9961257822167,2179.908802123188,16.91044315435122,2917.8602816838734,0.0078265372429062,0.0278861784943485,1
103,Ghazal/Ghulam Ali - Koi Raat Aisi Bhi Aaye.opus,1.2939395,0.34980047,0.34844863,0.2151906515609451,2.02748,-2.9157128,2197.213081319378,2748.1353482032505,21.11255274362351,4377.818271171633,-0.0574226433130551,0.0504788048308378,1
104,Ghazal/Gulzar - Haath Chute Bhi.opus,1.3123252,0.42752737,0.43958396,0.2370641162571143,5.4414473,1.6004426,3613.32228812846,3645.598068384021,21.70724716790388,7670.811998564999,0.0289849913534208,0.0841495931191295,1
105,Ghazal/Gulzar - Baarish.opus,1.3151222,0.41911337,0.44313452,0.2316561519950118,0.09590519,-13.149302,1656.230954171121,2080.777506173538,19.538338987119957,3146.591458235708,-0.0251937139207972,0.0413357878580424,1
106,Ghazal/Ghulam Ali - Yeh Dil Pagal Dil Mera.opus,1.3351489,0.4500645,0.48008752,0.2504066964445967,4.9574785,0.5659326,2422.420400839316,2360.2715241455176,21.07790971267135,5029.590456270012,-0.0042562502610423,0.0622465966160796,1
107,Ghazal/Ghulam Ali - Woh Nahi Mera Magar - Duet.opus,1.264116,0.36203775,0.36058894,0.2209668216596157,7.0933523,0.24728832,2276.1191302695192,2903.937862858209,21.40712942632477,5036.732876712329,0.0150213390345119,0.0385176316352739,1
108,Ghazal/Gulzar - Raat Chand Aur Main.opus,1.2844198,0.48165396,0.31405145,0.2027991556532223,5.001259,2.353262,2706.380503925684,3330.0645033218,21.360633012471823,5950.199663132653,0.0504994751301868,0.0502661517356123,1
109,Ghazal/Gulzar - Mausam Ka Jhonka.opus,1.2735665,0.4505888,0.41370946,0.2259768516879465,2.7484274,-4.011653,2566.3393621040677,2904.620939145355,19.566524460894417,5223.827144585873,-0.0050254080833491,0.062957074318192,1
110,Ghazal/Jagjit Singh - Aap Agar In Dinon Yahan Hote.opus,1.3347361,0.37636143,0.403945,0.2352088732065729,10.687134,2.626289,2434.3013931821683,3594.99154246572,21.126294993624803,5482.0526585069065,-0.0433310661255297,0.0341260119038212,1
